steam_id1,steam_id2,count
STEAM_0:1:741224,STEAM_0:1:1306478,3
STEAM_0:1:741224,STEAM_0:0:13708020,6
STEAM_0:1:741224,STEAM_0:1:17494569,7
STEAM_0:1:741224,STEAM_0:0:32905194,2
STEAM_0:1:741224,STEAM_0:0:26605378,11
STEAM_0:1:741224,STEAM_0:0:17635608,3
STEAM_0:1:741224,STEAM_0:0:24507746,7
STEAM_0:1:741224,STEAM_0:1:19008580,3
STEAM_0:1:741224,STEAM_0:0:13159229,3
STEAM_0:1:741224,STEAM_0:1:3094211,2
STEAM_0:1:741224,STEAM_0:1:40009526,7
STEAM_0:1:1306478,STEAM_0:0:13708020,2
STEAM_0:1:1306478,STEAM_0:1:17494569,3
STEAM_0:1:1306478,STEAM_0:0:32905194,2
STEAM_0:1:1306478,STEAM_0:0:26605378,4
STEAM_0:1:1306478,STEAM_0:0:17635608,3
STEAM_0:1:1306478,STEAM_0:0:24507746,3
STEAM_0:1:1306478,STEAM_0:1:19008580,3
STEAM_0:1:1306478,STEAM_0:0:13159229,4
STEAM_0:1:1306478,STEAM_0:1:3094211,2
STEAM_0:1:1306478,STEAM_0:1:40009526,3
STEAM_0:0:13708020,STEAM_0:1:17494569,10
STEAM_0:0:13708020,STEAM_0:0:32905194,2
STEAM_0:0:13708020,STEAM_0:0:26605378,10
STEAM_0:0:13708020,STEAM_0:0:17635608,4
STEAM_0:0:13708020,STEAM_0:0:24507746,7
STEAM_0:0:13708020,STEAM_0:1:19008580,4
STEAM_0:0:13708020,STEAM_0:0:13159229,4
STEAM_0:0:13708020,STEAM_0:1:3094211,3
STEAM_0:0:13708020,STEAM_0:1:40009526,10
STEAM_0:1:17494569,STEAM_0:0:32905194,2
STEAM_0:1:17494569,STEAM_0:0:26605378,11
STEAM_0:1:17494569,STEAM_0:0:17635608,3
STEAM_0:1:17494569,STEAM_0:0:24507746,8
STEAM_0:1:17494569,STEAM_0:1:19008580,3
