ID,Label,Count
STEAM_0:1:741224,furbo,12
STEAM_0:0:13708020,zooob,12
STEAM_0:1:17494569,Hildreth -ts-,12
STEAM_0:0:26605378,Shifty,12
STEAM_0:0:24507746,Ritalin,12
STEAM_0:1:40009526,sheepy,12
STEAM_0:0:8520477,Crackclan.com/tf2 TviQ,13
STEAM_0:0:17757495,crackclan.com/tf2 Retsh0ck,13
STEAM_0:0:26431514,crackclan.com/tf2 smzi,13
STEAM_0:0:154182,crackclan.com/tf2 Admirable,13
STEAM_0:1:7535486,crackclan.com/tf2 minimoose,13
STEAM_0:0:27788728,crackclan.com/tf2 ipz-,13
STEAM_0:1:4541761,cookye,7
STEAM_0:1:1524315,kaidus,7
STEAM_0:1:18504112,mirelin,7
STEAM_0:1:18696761,Darn!,8
STEAM_0:0:20805809,Zebbosai,7
STEAM_0:1:8589161,BeaVerN  | merc,5
STEAM_0:0:15653274,!myDGB.net kileR4funN' :P,6
STEAM_0:1:42172826,!myDGB.net RisinG4funN' :P,6
STEAM_0:1:1855127,!myDGB.net Haunter  >: ),6
STEAM_0:1:13810602,t0dA,6
STEAM_0:0:3298715,!myDGB.net Coinz,6
STEAM_0:0:20357422,sid,11
STEAM_0:1:17384139,tomzi,5
STEAM_0:1:17005784,bfaalizeè.,5
STEAM_0:0:15611394,hamster^,11
STEAM_0:0:11305575,d1egos,11
STEAM_0:0:19010519,Spicy,10
STEAM_0:0:15206122,druidz. dis,5
STEAM_0:1:1957744,Druidz. Calump,5
STEAM_0:1:16298316,TroX,11
STEAM_0:1:15300059,Dr|_|1dz. 537L37 ( ͡° ͜ʖ ͡,5
STEAM_0:0:18795520,mort,11
STEAM_0:0:16590687,Druidz. Antwuan,5
STEAM_0:1:27378618,AT| spooge,6
STEAM_0:0:15074431,AT| Califax,6
STEAM_0:0:7759167,AT| iAwp,6
STEAM_0:1:14494712,AT| eXtreaL,5
STEAM_0:1:32813,AT| SiTeHBu0mbb,6
