ID,Label,Count
[U:1:192722284],[U:1:192722284],939
[U:1:163739560],[U:1:163739560],915
[U:1:38645555],[U:1:38645555],903
[U:1:103737161],[U:1:103737161],818
[U:1:133009203],[U:1:133009203],802
[U:1:264274628],[U:1:264274628],789
[U:1:87674117],[U:1:87674117],779
[U:1:435500579],[U:1:435500579],777
[U:1:255902053],[U:1:255902053],769
[U:1:185969016],[U:1:185969016],751
[U:1:171437358],[U:1:171437358],742
[U:1:84270801],[U:1:84270801],736
[U:1:148981954],[U:1:148981954],729
[U:1:150568629],[U:1:150568629],712
[U:1:115493799],[U:1:115493799],704
[U:1:6263135],[U:1:6263135],701
[U:1:57163172],[U:1:57163172],700
[U:1:166472131],[U:1:166472131],700
[U:1:251185456],[U:1:251185456],699
[U:1:22865009],[U:1:22865009],687
[U:1:407532339],[U:1:407532339],679
[U:1:347917602],[U:1:347917602],676
[U:1:52680436],[U:1:52680436],663
[U:1:151541804],[U:1:151541804],656
[U:1:299858042],[U:1:299858042],654
[U:1:107876215],[U:1:107876215],649
[U:1:132987261],[U:1:132987261],649
[U:1:40526972],[U:1:40526972],648
[U:1:183362050],[U:1:183362050],646
[U:1:114589496],[U:1:114589496],644
[U:1:38078326],[U:1:38078326],642
[U:1:909021495],[U:1:909021495],641
[U:1:96705335],[U:1:96705335],638
[U:1:240618091],[U:1:240618091],630
[U:1:42954103],[U:1:42954103],625
[U:1:380355162],[U:1:380355162],622
[U:1:164593855],[U:1:164593855],612
[U:1:376632465],[U:1:376632465],612
[U:1:354890507],[U:1:354890507],610
[U:1:163951497],[U:1:163951497],607
[U:1:897539054],[U:1:897539054],605
[U:1:390970005],[U:1:390970005],604
[U:1:219614509],[U:1:219614509],597
[U:1:166359895],[U:1:166359895],596
[U:1:117548266],[U:1:117548266],593
[U:1:102898628],[U:1:102898628],592
[U:1:230941247],[U:1:230941247],581
[U:1:373857651],[U:1:373857651],580
[U:1:111827637],[U:1:111827637],578
[U:1:142839983],[U:1:142839983],575
[U:1:199936359],[U:1:199936359],571
[U:1:79625875],[U:1:79625875],571
[U:1:477787496],[U:1:477787496],569
[U:1:90639321],[U:1:90639321],569
[U:1:107299936],[U:1:107299936],564
[U:1:131972625],[U:1:131972625],562
[U:1:122655963],[U:1:122655963],562
[U:1:441902418],[U:1:441902418],561
[U:1:190905255],[U:1:190905255],559
[U:1:77320],[U:1:77320],559
[U:1:230027013],[U:1:230027013],556
[U:1:87466232],[U:1:87466232],552
[U:1:837557388],[U:1:837557388],550
[U:1:185196780],[U:1:185196780],550
[U:1:257703869],[U:1:257703869],549
[U:1:1133591697],[U:1:1133591697],549
[U:1:123239303],[U:1:123239303],548
[U:1:101982160],[U:1:101982160],547
[U:1:441969963],[U:1:441969963],544
[U:1:1140545079],[U:1:1140545079],544
[U:1:112837801],[U:1:112837801],539
[U:1:94770515],[U:1:94770515],536
[U:1:83643663],[U:1:83643663],536
[U:1:80366364],[U:1:80366364],535
[U:1:49900537],[U:1:49900537],535
[U:1:177596179],[U:1:177596179],533
[U:1:42251001],[U:1:42251001],529
[U:1:251951241],[U:1:251951241],528
[U:1:74177271],[U:1:74177271],527
[U:1:210594027],[U:1:210594027],526
