ID,Label,Count
[U:1:297077244],[U:1:297077244],194
[U:1:139650599],[U:1:139650599],165
[U:1:301530244],[U:1:301530244],438
[U:1:199936359],[U:1:199936359],571
[U:1:298221737],[U:1:298221737],139
[U:1:68711672],[U:1:68711672],146
[U:1:316758676],[U:1:316758676],48
[U:1:124965196],[U:1:124965196],109
[U:1:71652445],[U:1:71652445],396
[U:1:66630323],[U:1:66630323],436
[U:1:257703869],[U:1:257703869],549
[U:1:52680436],[U:1:52680436],663
[U:1:46153961],[U:1:46153961],310
[U:1:246376952],[U:1:246376952],81
[U:1:210714615],[U:1:210714615],198
[U:1:40714804],[U:1:40714804],402
[U:1:109458071],[U:1:109458071],300
[U:1:103737161],[U:1:103737161],818
[U:1:100750567],[U:1:100750567],351
[U:1:85086904],[U:1:85086904],342
[U:1:52464286],[U:1:52464286],156
[U:1:903793354],[U:1:903793354],260
[U:1:170815558],[U:1:170815558],22
[U:1:72092951],[U:1:72092951],158
[U:1:100941416],[U:1:100941416],388
[U:1:149833746],[U:1:149833746],377
[U:1:67905517],[U:1:67905517],410
[U:1:458153153],[U:1:458153153],5
[U:1:230200242],[U:1:230200242],436
[U:1:205017959],[U:1:205017959],462
[U:1:178543268],[U:1:178543268],140
[U:1:126803069],[U:1:126803069],21
[U:1:82738331],[U:1:82738331],271
[U:1:241722507],[U:1:241722507],410
[U:1:31135245],[U:1:31135245],433
[U:1:132507896],[U:1:132507896],489
[U:1:34044692],[U:1:34044692],210
[U:1:58740777],[U:1:58740777],238
[U:1:301212635],[U:1:301212635],212
[U:1:145082321],[U:1:145082321],172
[U:1:137953181],[U:1:137953181],227
[U:1:27200922],[U:1:27200922],119
[U:1:40820252],[U:1:40820252],128
[U:1:94360484],[U:1:94360484],379
[U:1:62573685],[U:1:62573685],197
[U:1:52544220],[U:1:52544220],293
[U:1:190049856],[U:1:190049856],184
[U:1:101048220],[U:1:101048220],264
[U:1:325575405],[U:1:325575405],401
[U:1:380355162],[U:1:380355162],622
[U:1:357325062],[U:1:357325062],294
[U:1:241901156],[U:1:241901156],497
[U:1:279861210],[U:1:279861210],57
[U:1:124922958],[U:1:124922958],317
[U:1:186637456],[U:1:186637456],224
[U:1:179643477],[U:1:179643477],212
[U:1:164593855],[U:1:164593855],612
[U:1:229896039],[U:1:229896039],341
[U:1:191215216],[U:1:191215216],479
[U:1:119317467],[U:1:119317467],197
[U:1:136442894],[U:1:136442894],177
[U:1:38021038],[U:1:38021038],3
[U:1:165779109],[U:1:165779109],1
[U:1:88119301],[U:1:88119301],244
[U:1:161125617],[U:1:161125617],131
[U:1:175184792],[U:1:175184792],23
[U:1:90997701],[U:1:90997701],266
[U:1:75900538],[U:1:75900538],413
[U:1:32596633],[U:1:32596633],3
[U:1:344898956],[U:1:344898956],218
[U:1:40714844],[U:1:40714844],4
[U:1:419917281],[U:1:419917281],375
[U:1:178192976],[U:1:178192976],267
[U:1:80872113],[U:1:80872113],111
[U:1:127934204],[U:1:127934204],259
[U:1:83670635],[U:1:83670635],293
[U:1:68730274],[U:1:68730274],240
[U:1:58589769],[U:1:58589769],82
[U:1:101320364],[U:1:101320364],344
[U:1:94958385],[U:1:94958385],187
[U:1:80893698],[U:1:80893698],209
[U:1:50957349],[U:1:50957349],173
[U:1:29876277],[U:1:29876277],54
[U:1:93362515],[U:1:93362515],179
[U:1:131094319],[U:1:131094319],142
[U:1:133670980],[U:1:133670980],12
[U:1:99956030],[U:1:99956030],57
[U:1:78006632],[U:1:78006632],153
[U:1:172044269],[U:1:172044269],43
[U:1:343620215],[U:1:343620215],314
[U:1:114711235],[U:1:114711235],61
[U:1:153653206],[U:1:153653206],137
[U:1:106711772],[U:1:106711772],19
[U:1:208574570],[U:1:208574570],1
[U:1:192765534],[U:1:192765534],60
[U:1:86572620],[U:1:86572620],297
[U:1:175790976],[U:1:175790976],525
[U:1:263878640],[U:1:263878640],27
[U:1:104487744],[U:1:104487744],4
[U:1:178903538],[U:1:178903538],483
[U:1:105421801],[U:1:105421801],494
[U:1:350242480],[U:1:350242480],372
[U:1:154610744],[U:1:154610744],149
[U:1:152151801],[U:1:152151801],152
[U:1:89327989],[U:1:89327989],90
[U:1:2043271],[U:1:2043271],266
[U:1:220620254],[U:1:220620254],74
[U:1:136305209],[U:1:136305209],458
[U:1:93148964],[U:1:93148964],261
[U:1:102407203],[U:1:102407203],213
[U:1:180342878],[U:1:180342878],380
[U:1:103010039],[U:1:103010039],348
[U:1:174827675],[U:1:174827675],330
[U:1:152743786],[U:1:152743786],413
[U:1:165445936],[U:1:165445936],247
[U:1:33540398],[U:1:33540398],255
[U:1:123239303],[U:1:123239303],548
[U:1:116488376],[U:1:116488376],305
[U:1:88908480],[U:1:88908480],130
[U:1:91145636],[U:1:91145636],66
[U:1:79419620],[U:1:79419620],32
[U:1:52549229],[U:1:52549229],13
[U:1:78882025],[U:1:78882025],178
[U:1:78482761],[U:1:78482761],269
[U:1:31512563],[U:1:31512563],418
