ID,Label,Count
[U:1:87326399],WHALELORD,62
[U:1:127196451],tiram,167
[U:1:1110398897],aubi,62
[U:1:235452183],fetusss,168
[U:1:78753744],myk,188
[U:1:112036545],JENNY,143
[U:1:208315606],ToTenLis,1
[U:1:473065154],Duhaime,176
[U:1:135658177],Vision Spire,6
[U:1:77814300],bang,11
[U:1:226348490],Sacetter,236
[U:1:169095722],Temp,39
[U:1:112617879],Lucifer,20
[U:1:907250368],tsar fenrir,6
[U:1:206206415],kandurrr,14
[U:1:208220228],haze,57
[U:1:367816698],Neushoorn Josef,65
[U:1:185196780],Muenster,550
[U:1:91176192],HOWN jfro,51
[U:1:83721758],Ed Cook,37
[U:1:296354236],tuom,189
[U:1:83943068],iikq,250
[U:1:384860776],franeu,150
[U:1:1041555015],Funky,107
[U:1:103618507],Matek,308
[U:1:295483410],Opoorp0.2,57
[U:1:440646611],zlot,50
[U:1:115049088],Sithis,67
[U:1:1034357155],soulless,109
[U:1:116260123],Flemming,13
[U:1:378309560],starin,153
[U:1:157311741],tylermx666,347
[U:1:440939617],Dat coochie be like tv static,3
[U:1:87466232],alabama hotpocket,552
[U:1:124317659],LUKASTANK,194
[U:1:466559718],bento | new posture,178
[U:1:372263827],Augiz,3
[U:1:48926830],k9k9k9k9k9k9k,67
[U:1:105032599],skacipaci,5
[U:1:284788482],t9m,78
[U:1:58736264],Heatburn,23
[U:1:57213730],bofaswag,47
[U:1:206367231],Tcinach,43
[U:1:835398611],jsu,153
[U:1:42467658],G0nZ4,31
[U:1:75020732],Sunee,33
[U:1:356727490],Hyperion,30
[U:1:143250294],Infix,166
[U:1:113982939],Phrenic,133
[U:1:94784401],pinat,7
[U:1:41849275],hemp,151
[U:1:95568210],KemNG,3
[U:1:129878503],Kona-chan,2
[U:1:68233584],Meatball,86
[U:1:69003015],Phone,202
[U:1:46753342],&#34;; unbindall; say &#34;,79
[U:1:126819619],Wolfy,7
[U:1:118933323],dfox LFT,78
[U:1:127171744],stan,71
[U:1:100229218],prazubr,19
[U:1:159002083],kiiobe,35
[U:1:313429915],neto,204
[U:1:32341417],Exon.,16
[U:1:137301984],cody,80
[U:1:148337219],iTac,13
[U:1:257343776],Epic Sax Dude,21
[U:1:921482363],randy,160
[U:1:1143152421],nRE,141
[U:1:83643663],miperton,536
[U:1:112388942],Nirvana,275
[U:1:97234997],SweetTÜTH,188
[U:1:1054468966],meth clefairy,238
[U:1:165594428],Tastie,202
[U:1:275610154],demoman,284
[U:1:455244534],HYDE sweglord227,28
[U:1:336620778],junius,4
[U:1:906468260],run,93
[U:1:430409145],CakeZombi,93
[U:1:255247519],Spks,66
[U:1:340887463],soup,4
[U:1:267392112],TGEspeon™,4
[U:1:114038341],Muma,262
[U:1:79782244],Jordan Hildebrand,83
[U:1:195243752],Chonkertron 3000 blm,96
[U:1:81372519],phos,43
[U:1:925124707],RDP Insight,51
[U:1:160414584],Night Fire,49
[U:1:112100596],Thigh High Gaming,4
[U:1:156132988],Empyrean,222
[U:1:410417461],Normal Ceiling Fan,87
[U:1:317289247],RDP enis,8
[U:1:161066778],replay tf2blaze.com tf2hunt.com,11
[U:1:399369113],hypnotize,2
[U:1:127429827],Xyrian,1
[U:1:64845023],LatinRhythms,24
[U:1:82128674],eggbert,8
[U:1:19694280],kree,17
