steam_id,alias
STEAM_0:1:741224,furbo
STEAM_0:1:1306478,qn. Kritzonite
STEAM_0:0:13708020,zooob
STEAM_0:1:17494569,Hildreth -ts-
STEAM_0:0:32905194,qn. kalho
STEAM_0:0:26605378,Shifty
STEAM_0:0:17635608,qn. fuo
STEAM_0:0:24507746,Ritalin
STEAM_0:1:19008580,qn. lime
STEAM_0:0:13159229,qn. Qun.TV
STEAM_0:1:3094211,qn. zappis
STEAM_0:1:40009526,sheepy
STEAM_0:1:1328042,TLR Traxantic
STEAM_0:0:8520477,Crackclan.com/tf2 TviQ
STEAM_0:1:282682,TLR dONut
STEAM_0:0:19151802,TLR Cyber
STEAM_0:1:6165188,TLR Evilmoon
STEAM_0:0:17757495,crackclan.com/tf2 Retsh0ck
STEAM_0:0:26431514,crackclan.com/tf2 smzi
STEAM_0:0:80198,TLR HYS
STEAM_0:0:154182,crackclan.com/tf2 Admirable
STEAM_0:1:7535486,crackclan.com/tf2 minimoose
STEAM_0:0:4869176,TLR droso
STEAM_0:0:27788728,crackclan.com/tf2 ipz-
STEAM_0:1:741224,furbo
STEAM_0:1:1306478,qn. Kritzonite
STEAM_0:0:13708020,zooob
STEAM_0:1:17494569,Hildreth -ts-
STEAM_0:0:32905194,qn. kalho
STEAM_0:0:26605378,Shifty
STEAM_0:0:17635608,qn. fuo
STEAM_0:0:24507746,Ritalin
STEAM_0:1:19008580,qn. lime
STEAM_0:0:13159229,qn. Qun.TV
STEAM_0:1:3094211,qn. zappis
STEAM_0:1:40009526,sheepy
STEAM_0:1:1328042,TLR Traxantic
STEAM_0:0:8520477,Crackclan.com/tf2 TviQ
STEAM_0:1:282682,TLR dONut
STEAM_0:0:19151802,TLR Cyber
STEAM_0:1:6165188,TLR Evilmoon
STEAM_0:0:17757495,crackclan.com/tf2 Retsh0ck
STEAM_0:0:26431514,crackclan.com/tf2 smzi
STEAM_0:0:80198,TLR HYS
STEAM_0:0:154182,crackclan.com/tf2 Admirable
STEAM_0:1:7535486,crackclan.com/tf2 minimoose
STEAM_0:0:4869176,TLR droso
STEAM_0:0:27788728,crackclan.com/tf2 ipz-
STEAM_0:0:4869176,TLR droso
STEAM_0:1:7535486,crackclan.com/tf2 minimoose
STEAM_0:0:26431514,crackclan.com/tf2 smzi
STEAM_0:0:27788728,crackclan.com/tf2 ipz-
STEAM_0:0:154182,crackclan.com/tf2 Admirable
STEAM_0:1:1328042,TLR Traxantic
STEAM_0:0:17757495,crackclan.com/tf2 Retsh0ck
STEAM_0:0:8520477,Crackclan.com/tf2 TviQ
STEAM_0:1:282682,TLR dONut
STEAM_0:0:19151802,TLR Cyber
STEAM_0:1:6165188,TLR Evilmoon
STEAM_0:0:80198,TLR HYS
STEAM_0:1:4541761,cookye
STEAM_0:0:27788728,ipz- crackclan.com/tf2
STEAM_0:1:159631,bybben
STEAM_0:0:26431514,smzi crackclan.com/tf2
STEAM_0:1:7535486,minimoose crackclan.com/tf2
STEAM_0:0:8520477,TviQ Crackclan.com/tf2
STEAM_0:0:154182,Admirable crackclan.com/tf2
STEAM_0:0:17757495,Retsh0ck crackclan.com/tf2
STEAM_0:1:1524315,kaidus
STEAM_0:1:18504112,mirelin
STEAM_0:1:18696761,Darn!
STEAM_0:0:20805809,Zebbosai
STEAM_0:0:27788728,ipz- crackclan.com/tf2
STEAM_0:1:4541761,cookye
STEAM_0:1:159631,bybben
STEAM_0:0:26431514,smzi crackclan.com/tf2
STEAM_0:1:7535486,minimoose crackclan.com/tf2
STEAM_0:0:17757495,Retsh0ck crackclan.com/tf2
STEAM_0:0:8520477,TviQ Crackclan.com/tf2
STEAM_0:1:1524315,kaidus
STEAM_0:0:20805809,Zebbosai
STEAM_0:1:18504112,mirelin
STEAM_0:1:18696761,Darn!
STEAM_0:0:154182,Admirable crackclan.com/tf2
STEAM_0:0:24507746,Ritalin | logs.tf
STEAM_0:0:13708020,zooob | logs.tf
STEAM_0:1:40009526,sheepy | tf2logs.com
STEAM_0:1:17494569,Hildreth | logs.tf
STEAM_0:0:513478,GLadia en Doudoucel
STEAM_0:1:39028131,Hickorynevada7
STEAM_0:1:16170708,Exon
STEAM_0:0:28992375,Os`sqlt
STEAM_0:1:18801756,PyRo|GEN DeGuN
STEAM_0:1:741224,furbo | logs.tf
STEAM_0:0:16327666,payard
STEAM_0:0:26605378,Shifty | logs.tf
STEAM_0:1:16170708,Exon
